"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"409","Jonathan Huberdeau","FLA","L","82","1545.9833333333","30","62","40","22","92","76.67","226","13.27","22.87","358","299","218","103","9","27","40","16","15","0","1","24","84","43","57","84","45","12","7","63.16"
"655","Brayden Point","T.B","C","79","1494.6","41","51","28","23","92","65.71","192","21.35","26.7","312","251","256","131","10","23","28","14","14","0","0","23","25","35","31","94","43","435","421","50.82"
"59","Blake Wheeler","WPG","R","82","1698.2","20","71","47","24","91","73.39","231","8.66","18.66","378","304","194","64","7","17","60","27","25","2","0","17","33","42","81","86","53","31","57","35.23"
"56","Alex Ovechkin","WSH","L","81","1694.6166666667","51","38","26","12","89","64.49","338","15.09","34.07","668","501","290","85","13","30","40","20","20","0","0","20","70","47","223","61","41","1","4","20.00"
"238","John Tavares","TOR","C","82","1565.3166666667","47","41","25","16","88","66.17","286","16.43","37.56","485","401","365","203","12","37","34","16","16","0","0","26","72","53","59","115","53","832","696","54.45"
"702","Mikko Rantanen","COL","R","74","1542.3","31","56","34","22","87","72.50","193","16.06","18.24","343","260","175","61","5","20","54","27","27","0","0","27","35","39","59","138","41","17","29","36.96"
"743","Artemi Panarin","CBJ","L","79","1568.6666666667","28","59","44","15","87","76.32","191","14.66","16.73","359","257","172","44","4","18","23","10","9","1","0","22","56","31","14","43","17","1","3","25.00"
"119","Claude Giroux","PHI","C","82","1759.45","22","63","37","26","85","69.67","229","9.61","16.59","419","317","188","53","6","20","24","12","12","0","0","14","48","46","28","59","19","674","490","57.90"
"413","Mark Scheifele","WPG","C","82","1792.7","38","46","27","19","84","64.62","199","19.10","27.15","335","273","249","106","6","21","38","15","14","0","1","33","48","74","54","130","54","803","933","46.26"
"39","Brent Burns","S.J","D","82","2058.1333333333","16","67","39","28","83","58.45","300","5.33","13.52","689","435","145","25","9","42","34","13","12","0","1","8","118","88","90","65","105","0","1","0.00"
"705","Sebastian Aho","CAR","C, R","82","1652.3666666667","30","53","29","24","83","70.34","243","12.35","30.06","466","367","249","113","14","35","26","13","13","0","0","27","64","81","65","110","34","585","619","48.59"
"124","Phil Kessel","PIT","R","82","1474.2166666667","27","55","32","23","82","82.00","215","12.56","21.95","370","281","217","83","12","28","28","13","13","0","0","4","78","33","12","60","18","4","5","44.44"
"577","Sean Monahan","CGY","C","78","1486.2666666667","34","48","30","18","82","68.33","211","16.11","29.29","359","278","260","133","11","28","12","6","6","0","0","22","58","78","36","61","24","454","434","51.13"
"693","Jack Eichel","BUF","C","77","1573.9833333333","28","54","31","23","82","73.21","303","9.24","25.39","485","392","226","95","17","31","26","12","12","0","0","25","76","38","70","113","51","597","673","47.01"
"131","Jonathan Toews","CHI","C","82","1722.5666666667","35","46","29","17","81","64.80","236","14.83","26.58","355","291","234","115","10","24","40","20","20","0","0","18","52","72","42","134","44","1059","821","56.33"
"635","David Pastrnak","BOS","R","66","1237.75","38","43","28","15","81","75.00","235","16.17","22.31","431","339","198","74","18","17","32","15","15","0","0","32","90","36","57","114","25","1","2","33.33"
"330","Tyler Seguin","DAL","C","82","1701.3666666667","33","47","32","15","80","72.73","334","9.88","33.08","566","432","307","125","7","48","18","9","9","0","0","17","55","47","74","33","47","676","579","53.86"
"45","Patrice Bergeron","BOS","C","65","1200.3666666667","32","47","26","21","79","69.30","205","15.61","25.04","369","299","228","95","13","17","30","15","15","0","0","14","27","42","43","46","60","786","603","56.59"
"576","Elias Lindholm","CGY","C","81","1623.1166666667","27","51","26","25","78","62.40","182","14.84","20.08","311","246","172","88","9","25","20","9","9","0","0","13","46","50","82","69","39","509","428","54.32"
"234","Ryan O'Reilly","STL","C","82","1701.6833333333","28","49","28","21","77","70.00","234","11.97","24.62","368","305","247","111","10","24","12","6","6","0","0","22","33","94","31","51","36","1086","824","56.86"
"774","Matthew Tkachuk","CGY","L","80","1407.9166666667","34","43","26","17","77","71.30","207","16.43","25.32","344","273","208","126","8","30","60","23","20","2","1","32","56","42","104","101","13","6","7","46.15"
"414","Sean Couturier","PHI","C","80","1770.1666666667","33","43","27","16","76","63.87","223","14.80","26.03","385","318","239","117","7","27","34","13","12","0","1","25","48","47","40","101","60","755","568","57.07"
"462","Teuvo Teravainen","CAR","L","82","1469.2166666667","21","55","36","19","76","77.55","167","12.57","16.69","318","245","161","68","8","24","12","6","6","0","0","6","64","55","35","53","23","18","25","41.86"
"537","Jake Guentzel","PIT","C, L","82","1586.75","40","36","17","19","76","69.09","227","17.62","24.86","375","302","263","134","10","22","26","13","13","0","0","21","42","45","105","170","47","10","20","33.33"
"784","Alex DeBrincat","CHI","L, R","82","1451.4","41","35","17","18","76","66.67","220","18.64","21.45","404","299","257","75","11","15","15","6","5","1","0","11","50","51","35","96","26","16","19","45.71"
"408","Gabriel Landeskog","COL","L","73","1543.85","34","41","23","18","75","61.98","243","13.99","25.03","363","320","222","135","4","20","51","22","21","1","0","25","47","46","120","102","64","361","333","52.02"
"55","Mark Giordano","CGY","D","78","1890.65","17","57","25","32","74","51.39","221","7.69","11.9","490","334","113","22","6","35","69","32","31","1","0","13","65","73","58","141","144","0","0","-"
"126","Nicklas Backstrom","WSH","C","80","1596.2166666667","22","52","30","22","74","64.91","169","13.02","18.35","287","226","173","77","4","25","30","15","15","0","0","13","62","53","54","80","30","700","739","48.64"
"412","Mika Zibanejad","NYR","C","82","1685.8","30","44","25","19","74","75.51","236","12.71","19.5","392","316","170","69","13","14","47","17","15","1","1","16","69","69","134","131","66","831","842","49.67"
"461","Tomas Hertl","S.J","C","77","1464.5166666667","35","39","24","15","74","65.49","176","19.89","26.02","309","250","224","133","11","17","18","9","9","0","0","19","44","57","53","112","64","609","574","51.48"
"68","David Krejci","BOS","C","81","1431.9333333333","20","53","31","22","73","78.49","139","14.39","13.25","241","203","138","53","12","9","16","8","8","0","0","17","44","54","28","80","24","530","565","48.40"
"352","Mark Stone","OTT, VGK","R","77","1531.1666666667","33","40","25","15","73","67.59","199","16.58","20.85","345","274","221","98","10","27","27","12","11","1","0","24","62","122","72","67","71","28","34","45.16"
"626","Dylan Larkin","DET","C","76","1660","32","41","26","15","73","75.26","287","11.15","26.34","494","382","263","113","17","26","75","32","30","1","1","28","100","69","80","76","38","865","722","54.51"
"777","Auston Matthews","TOR","C","68","1261.7333333333","37","36","23","13","73","79.35","251","14.74","27.11","447","359","321","112","13","26","12","6","6","0","0","14","67","57","28","105","60","475","436","52.14"
"57","Evgeni Malkin","PIT","C","68","1278.6666666667","21","51","31","20","72","79.12","188","11.17","17.59","324","245","196","76","10","25","89","31","27","1","3","26","84","64","54","94","33","381","453","45.68"
"61","Alexander Radulov","DAL","R","70","1384.8","29","43","23","20","72","68.57","210","13.81","22.03","368","275","208","98","11","29","54","27","27","0","0","16","74","43","60","85","83","6","10","37.50"
"306","Evgeny Kuznetsov","WSH","C","76","1428.1","21","51","25","26","72","65.45","193","10.88","21.68","335","280","168","78","9","14","50","25","25","0","0","18","62","46","46","42","20","396","627","38.71"
"445","Morgan Rielly","TOR","D","82","1896.0166666667","20","52","25","27","72","48.32","223","8.97","10.19","490","309","125","15","7","26","14","7","7","0","0","8","94","60","61","104","114","0","1","0.00"
"583","Max Domi","MTL","C, L","82","1425.3166666667","28","44","27","17","72","76.60","203","13.79","19.5","362","273","200","73","10","30","80","33","30","2","1","30","70","47","53","84","39","447","549","44.88"
"151","Logan Couture","S.J","C","81","1506.1833333333","27","43","26","17","70","63.64","204","13.24","22.08","361","288","201","87","11","21","22","10","10","0","0","12","36","71","65","95","52","282","327","46.31"
"167","Evgenii Dadonov","FLA","R","82","1506.4333333333","28","42","22","20","70","56.00","195","14.36","26.26","359","280","238","110","12","19","8","4","4","0","0","15","59","45","33","125","42","2","3","40.00"
"198","John Carlson","WSH","D","80","2005.1833333333","13","57","35","22","70","45.16","185","7.03","10.28","397","267","103","18","11","19","34","13","12","0","1","8","87","55","54","82","164","0","0","-"
"230","Mike Hoffman","FLA","L","82","1462.7","36","34","14","20","70","67.31","253","14.23","19.61","441","333","196","60","13","19","30","15","15","0","0","16","98","48","42","74","26","13","25","34.21"
"240","Matt Duchene","CBJ, OTT","C","73","1374.9","31","39","25","14","70","68.63","172","18.02","19.09","275","227","187","85","8","17","8","4","4","0","0","15","68","50","28","107","40","676","546","55.32"
"219","Cam Atkinson","CBJ","R","80","1550.2333333333","41","28","11","17","69","67.65","295","13.90","30.38","487","411","283","120","16","28","20","10","10","0","0","9","45","47","27","29","25","24","52","31.58"
"407","Ryan Nugent-Hopkins","EDM","C","82","1648.3833333333","28","41","16","25","69","66.99","208","13.46","21.09","357","273","237","102","15","26","26","13","13","0","0","24","56","59","69","85","40","379","461","45.12"
"319","Vladimir Tarasenko","STL","R","76","1397.2833333333","33","35","16","19","68","73.12","275","12.00","24.48","491","356","287","102","15","34","22","7","6","0","1","17","31","34","88","70","40","4","2","66.67"
"171","Jakub Voracek","PHI","R","78","1456.4333333333","20","46","29","17","66","69.47","210","9.52","17.95","383","285","177","66","6","38","25","11","10","1","0","20","58","32","17","75","29","12","18","40.00"
"688","Kyle Connor","WPG","L","82","1578.7166666667","34","32","20","12","66","55.46","227","14.98","28.01","355","296","234","129","11","28","18","9","9","0","0","10","33","56","9","80","21","8","5","61.54"
"698","Timo Meier","S.J","R","78","1323.4166666667","30","36","20","16","66","72.53","250","12.00","27.62","444","346","304","149","18","37","55","25","24","1","0","36","38","49","99","109","40","12","26","31.58"
"845","Elias Pettersson","VAN","C","71","1294.0666666667","28","38","24","14","66","76.74","144","19.44","14.06","267","202","150","42","8","15","12","6","6","0","0","34","52","41","42","85","51","257","370","40.99"
"613","Sam Reinhart","BUF","C","82","1554.5333333333","22","43","28","15","65","65.00","181","12.15","21.86","325","276","204","118","11","15","16","8","8","0","0","16","46","39","38","123","47","31","56","35.63"
"52","Joe Pavelski","S.J","C","75","1428.3","38","26","17","9","64","66.67","188","20.21","26.24","297","251","225","124","10","30","22","11","11","0","0","25","45","41","69","54","61","526","463","53.19"
"329","Ryan Johansen","NSH","C","80","1564.4166666667","14","50","29","21","64","62.75","136","10.29","15.43","225","174","136","81","5","17","42","20","20","0","0","13","66","43","95","41","23","782","679","53.52"
"324","Jeff Skinner","BUF","C, L","82","1518.4833333333","40","23","15","8","63","58.88","268","14.93","28.65","431","355","287","131","10","28","36","18","18","0","0","40","39","56","31","66","24","157","144","52.16"
"93","Keith Yandle","FLA","D","82","1840.3666666667","9","53","35","18","62","48.44","199","4.52","9.5","408","279","82","6","11","26","50","21","20","0","1","12","110","27","47","27","76","0","0","-"
"713","Mathew Barzal","NYI","C","82","1469.6833333333","18","44","23","21","62","82.67","179","10.06","19.24","293","230","208","92","8","21","46","23","23","0","0","32","117","66","25","111","56","241","339","41.55"
"36","Zach Parise","MIN","L","74","1381.45","28","33","17","16","61","72.62","229","12.23","26.8","345","290","222","134","8","27","26","13","13","0","0","22","25","22","49","82","71","9","25","26.47"
"580","Bo Horvat","VAN","C","82","1708.5166666667","27","34","15","19","61","61.62","227","11.89","25.19","355","292","236","128","6","25","33","15","14","1","0","18","38","28","62","74","63","1083","935","53.67"
"804","Pierre-Luc Dubois","CBJ","C","82","1452.6666666667","27","34","19","15","61","58.10","174","15.52","19.84","309","248","225","96","7","19","64","32","32","0","0","29","54","45","115","133","52","455","592","43.46"
"81","Anze Kopitar","L.A","C","81","1806.1833333333","22","38","27","11","60","65.22","156","14.10","19.19","298","227","174","82","10","25","30","15","15","0","0","24","58","57","59","86","66","1002","817","55.09"
"213","Gustav Nyquist","DET, S.J","C, R","81","1419.1","22","38","19","19","60","68.97","204","10.78","19.38","350","273","212","76","5","21","12","6","6","0","0","14","74","42","36","71","23","11","11","50.00"
"499","Erik Gustafsson","CHI","D","79","1784.1833333333","17","43","24","19","60","52.17","160","10.63","8","345","228","88","11","3","16","34","17","17","0","0","9","77","34","100","154","115","0","0","-"
"256","Tyson Barrie","COL","D","78","1698.5333333333","14","45","28","17","59","54.13","218","6.42","11.05","441","298","118","23","6","35","36","17","17","0","0","9","41","28","48","84","93","0","0","-"
"432","Jonathan Marchessault","VGK","C","82","1488.0166666667","25","34","16","18","59","62.11","278","8.99","27.39","486","378","246","88","13","25","52","26","26","0","0","24","68","51","98","106","22","92","155","37.25"
"255","Tomas Tatar","MTL","L","80","1311.9166666667","25","33","21","12","58","75.32","195","12.82","18.52","340","262","199","85","17","23","34","17","17","0","0","12","44","52","77","84","30","10","29","25.64"
"709","Dylan Strome","ARI, CHI","C","78","1260.0333333333","20","37","19","18","57","58.16","146","13.70","14.22","236","187","139","64","10","12","20","10","10","0","0","9","34","47","13","73","46","434","463","48.38"
"91","Kris Letang","PIT","D","65","1687.35","16","40","25","15","56","47.46","206","7.77","10.17","379","265","96","15","7","27","48","20","19","0","1","12","76","63","116","96","111","0","0","-"
"190","Josh Bailey","NYI","R","82","1379.8666666667","16","40","26","14","56","72.73","126","12.70","12.41","221","162","150","57","6","16","21","9","8","1","0","6","80","41","19","42","32","140","132","51.47"
"200","Roman Josi","NSH","D","82","2063.5666666667","15","41","21","20","56","54.37","274","5.47","16.82","508","364","150","36","11","29","42","17","16","0","1","12","65","36","53","100","144","0","1","0.00"
"241","Evander Kane","S.J","L","75","1380.7833333333","30","26","13","13","56","62.92","268","11.19","26.32","446","351","263","126","20","39","153","47","38","3","6","28","38","48","173","143","25","92","120","43.40"
"362","Ryan Dzingel","CBJ, OTT","C, L","78","1311.5666666667","26","30","19","11","56","66.67","159","16.35","15.16","250","195","161","77","4","20","29","13","12","1","0","8","39","25","54","65","38","39","56","41.05"
"404","William Karlsson","VGK","C","82","1545.45","24","32","20","12","56","65.88","169","14.20","19.04","316","244","189","90","16","19","16","8","8","0","0","17","41","73","51","103","55","588","646","47.65"
"673","Kevin Labanc","S.J","R","82","1149.6166666667","17","39","18","21","56","70.89","130","13.08","13.44","253","191","147","51","6","8","36","18","18","0","0","14","51","22","66","89","16","9","14","39.13"
"712","Brock Boeser","VAN","R","69","1322.3","26","30","16","14","56","64.37","209","12.44","19.35","403","289","218","67","9","20","22","11","11","0","0","10","33","40","14","48","22","39","51","43.33"
"317","Kevin Hayes","NYR, WPG","C, R","71","1297.8833333333","19","36","20","16","55","76.39","156","12.18","18.86","298","216","181","79","11","19","12","6","6","0","0","14","60","61","58","54","15","483","498","49.24"
"725","Thomas Chabot","OTT","D","70","1700.2166666667","14","41","12","29","55","47.41","185","7.57","9.69","377","244","108","24","9","23","32","16","16","0","0","16","72","31","71","114","112","0","0","-"
"84","T.J. Oshie","WSH","R","69","1284.1666666667","25","29","14","15","54","56.84","144","17.36","19.48","263","219","183","95","3","22","36","17","17","0","0","23","38","46","133","93","55","84","121","40.98"
"239","Victor Hedman","T.B","D","70","1593.9333333333","12","42","21","21","54","43.20","182","6.59","10.27","328","254","95","28","13","19","44","22","22","0","0","9","50","32","59","68","97","0","1","0.00"
"242","Brayden Schenn","STL","C","72","1337.3833333333","17","37","25","12","54","65.85","159","10.69","21.21","263","226","203","102","11","11","40","17","15","2","0","14","42","51","111","89","31","323","357","47.50"
"333","Mikael Granlund","MIN, NSH","C, R","79","1449.1333333333","16","38","27","11","54","76.06","189","8.47","16.26","329","252","160","64","10","27","24","12","12","0","0","18","34","47","46","145","40","129","159","44.79"
"494","Andreas Athanasiou","DET","C","76","1290.0666666667","30","24","17","7","54","72.97","216","13.89","21.87","387","304","215","88","14","11","38","15","14","0","1","32","47","26","33","64","26","171","228","42.86"
"8","Justin Williams","CAR","R","82","1430.3","23","30","18","12","53","60.92","237","9.70","25.86","377","317","218","126","8","28","44","22","22","0","0","27","88","63","55","167","32","92","150","38.02"
"139","Jamie Benn","DAL","L","78","1421.7","27","26","15","11","53","58.89","189","14.29","23.34","329","255","214","115","5","22","56","25","23","2","0","19","80","44","142","68","71","205","213","49.04"
"254","Reilly Smith","VGK","R","74","1352.1","19","34","22","12","53","63.86","178","10.67","22.13","302","239","200","92","11","10","14","7","7","0","0","12","54","67","39","96","33","5","2","71.43"
"312","Brock Nelson","NYI","C","82","1473.7166666667","25","28","13","15","53","71.62","181","13.81","20.97","294","236","213","95","10","10","28","14","14","0","0","15","47","54","51","114","55","594","652","47.67"
"334","Nino Niederreiter","CAR, MIN","R","82","1330.4666666667","23","30","16","14","53","63.86","184","12.50","22.17","326","256","218","118","6","30","30","15","15","0","0","14","39","51","94","145","20","37","30","55.22"
"428","Phillip Danault","MTL","C","81","1438.8166666667","12","41","26","15","53","65.43","132","9.09","14.53","236","181","145","70","8","20","39","18","17","1","0","18","53","49","95","111","60","882","706","55.54"
"437","Torey Krug","BOS","D","64","1363.2166666667","6","47","25","22","53","55.79","151","3.97","7.6","318","225","64","7","2","23","33","11","9","1","1","10","52","20","53","84","60","0","0","-"
"574","Jonathan Drouin","MTL","C, L","81","1371.4333333333","18","35","26","9","53","67.95","190","9.47","15.37","325","247","143","46","7","19","26","12","12","0","0","21","48","50","55","52","23","37","51","42.05"
"28","Eric Staal","MIN","C","81","1468.15","22","30","17","13","52","60.47","215","10.23","22.92","350","278","208","109","14","23","34","17","17","0","0","15","39","49","41","63","28","642","615","51.07"
"251","Chris Kreider","NYR","L","79","1375.0666666667","28","24","11","13","52","53.61","201","13.93","24.28","323","279","213","136","16","21","57","23","21","1","1","6","52","31","159","82","49","27","45","37.50"
"344","Brendan Gallagher","MTL","R","82","1343.4","33","19","9","10","52","63.41","302","10.93","31.63","556","404","324","166","24","41","49","23","22","1","0","24","30","57","126","139","31","23","28","45.10"
"629","Alex Tuch","VGK","R","74","1237.7833333333","20","32","13","19","52","65.00","180","11.11","19.26","327","250","195","85","13","31","8","4","4","0","0","11","51","69","92","93","40","43","69","38.39"
"3","Joe Thornton","S.J","C","73","1135.0333333333","16","35","23","12","51","67.11","90","17.78","9.79","149","117","87","35","2","15","20","10","10","0","0","12","42","43","17","29","14","356","319","52.74"
"34","Dustin Brown","L.A","R","72","1469.2333333333","22","29","19","10","51","63.75","180","12.22","18.04","296","231","179","86","6","20","24","12","12","0","0","14","44","31","150","87","29","1","16","5.88"
"278","Anders Lee","NYI","L","82","1401.2","28","23","14","9","51","59.30","204","13.73","29.17","332","283","269","175","8","24","58","25","23","2","0","23","29","22","103","102","51","75","80","48.39"
"233","Kyle Palmieri","N.J","R","74","1343.4833333333","27","23","15","8","50","59.52","224","12.05","19.7","383","300","174","64","6","17","42","21","21","0","0","26","37","36","98","117","35","24","62","27.91"
"464","Jacob Trouba","WPG","D","82","1876","8","42","16","26","50","44.64","162","4.94","8.46","367","251","72","13","4","22","58","28","28","0","0","10","86","48","112","70","171","0","0","-"
"466","Filip Forsberg","NSH","L","64","1191.45","28","22","16","6","50","68.49","217","12.90","24.11","435","318","241","88","15","27","26","13","13","0","0","29","67","69","100","65","29","1","6","14.29"
"785","Patrik Laine","WPG","R","82","1413.1166666667","30","20","17","3","50","52.08","245","12.24","21.72","470","354","202","56","10","24","42","20","20","0","0","14","48","28","70","78","44","11","19","36.67"
"65","Carl Soderberg","COL","C","82","1430.8166666667","23","26","15","11","49","70.00","188","12.23","19.51","314","242","204","107","13","22","26","13","13","0","0","22","26","49","99","98","67","528","542","49.35"
"708","Travis Konecny","PHI","C, R","82","1251.0666666667","24","25","14","11","49","72.06","182","13.19","16.39","296","251","163","67","11","20","40","17","15","2","0","23","49","38","65","129","45","7","15","31.82"
"38","Ryan Getzlaf","ANA","C","67","1304","14","34","13","21","48","75.00","133","10.53","11.72","271","208","118","44","8","11","58","22","19","2","1","13","79","60","150","62","74","551","463","54.34"
"148","James van Riemsdyk","PHI","L","66","1095.8333333333","27","21","9","12","48","66.67","167","16.17","18.88","262","206","155","95","8","25","18","9","9","0","0","6","19","25","34","69","16","6","5","54.55"
"442","Yanni Gourde","T.B","C","80","1267.0666666667","22","26","16","10","48","62.34","130","16.92","15.83","209","170","134","73","6","21","66","19","13","4","2","24","40","50","83","133","30","151","132","53.36"
"480","Chris Tierney","OTT","C","81","1379.4833333333","9","39","23","16","48","65.75","116","7.76","12.1","189","148","110","53","12","15","26","9","8","0","1","13","61","53","30","74","54","531","512","50.91"
"591","Anthony Mantha","DET","R","67","1194.4166666667","25","23","15","8","48","69.57","198","12.63","16.61","335","254","167","63","11","16","30","12","10","2","0","16","60","37","67","51","23","22","28","44.00"
"664","Viktor Arvidsson","NSH","L, R","58","1110.45","34","14","7","7","48","63.16","196","17.35","18.98","337","273","188","87","16","19","26","13","13","0","0","27","37","41","18","81","23","2","15","11.76"
"30","Ryan Suter","MIN","D","82","2188.75","7","40","15","25","47","42.34","136","5.15","6.83","318","209","69","16","5","24","41","19","18","1","0","9","30","25","78","44","109","1","0","100.00"
"168","Mikael Backlund","CGY","C","77","1377.6833333333","21","26","19","7","47","59.49","205","10.24","21.71","340","268","204","88","11","21","52","24","24","0","0","11","55","78","52","68","26","511","520","49.56"
"228","Tyler Johnson","T.B","C","80","1275.8666666667","29","18","9","9","47","52.22","163","17.79","19.28","268","220","180","81","7","17","28","14","14","0","0","18","32","13","50","67","32","230","243","48.63"
"377","Andrew Shaw","MTL","R","63","1002.65","19","28","18","10","47","73.44","135","14.07","17.13","223","175","163","98","4","19","71","22","18","1","3","17","24","16","128","116","36","181","203","47.14"
"397","Brandon Saad","CHI","L","80","1415.0833333333","23","24","17","7","47","66.20","195","11.79","20.73","318","260","215","105","13","17","12","6","6","0","0","17","36","35","52","71","25","24","38","38.71"
"420","J.T. Miller","T.B","C","75","1099.8666666667","13","34","15","19","47","55.29","108","12.04","11.09","192","159","131","55","5","13","30","14","14","0","0","16","38","42","115","70","23","259","265","49.43"
"500","Josh Anderson","CBJ","R","82","1395.9333333333","27","20","10","10","47","58.02","230","11.74","22.7","383","305","222","98","17","16","60","27","25","2","0","18","19","46","214","101","40","12","26","31.58"
"569","Tyler Bertuzzi","DET","L","73","1205.6833333333","21","26","11","15","47","62.67","131","16.03","14.86","249","192","156","85","8","10","36","13","11","2","0","16","43","34","76","110","39","10","20","33.33"
"624","Jakub Vrana","WSH","L","82","1151.3","24","23","15","8","47","70.15","161","14.91","16.15","277","231","172","65","10","12","27","12","11","1","0","20","50","41","47","54","32","4","6","40.00"
"786","Clayton Keller","ARI","C","82","1495.2833333333","14","33","19","14","47","64.38","200","7.00","17.83","350","276","183","60","10","31","24","11","11","0","0","32","37","46","16","119","21","28","56","33.33"
"842","Nico Hischier","N.J","C","69","1249.1666666667","17","30","14","16","47","58.75","160","10.63","17.77","248","208","179","108","5","13","24","8","7","0","1","27","32","38","53","93","44","437","529","45.24"
"62","Travis Zajac","N.J","C","80","1541.6666666667","19","27","8","19","46","62.16","120","15.83","14.8","197","156","141","63","9","16","20","10","10","0","0","13","33","63","66","64","38","841","605","58.16"
"118","Jeff Petry","MTL","D","82","1894.6333333333","13","33","17","16","46","45.10","172","7.56","9.56","437","281","95","17","4","20","28","14","14","0","0","9","129","39","190","147","123","0","1","0.00"
"161","David Perron","STL","L","57","974.43333333333","23","23","13","10","46","79.31","112","20.54","9.86","204","150","129","40","6","11","46","22","22","0","0","11","17","41","52","66","13","15","18","45.45"
"169","Ryan McDonagh","T.B","D","82","1811.2333333333","9","37","17","20","46","42.20","128","7.03","7.05","243","173","69","17","5","12","34","17","17","0","0","16","66","46","98","72","161","0","0","-"
"328","Brett Connolly","WSH","R","81","1079.7333333333","22","24","13","11","46","73.02","139","15.83","14.6","243","187","160","73","6","14","24","12","12","0","0","10","25","33","53","62","25","9","22","29.03"
"575","Seth Jones","CBJ","D","75","1936.7","9","37","19","18","46","42.99","184","4.89","10.22","377","277","85","12","8","17","28","14","14","0","0","9","69","59","106","111","133","0","0","-"
"183","Drew Doughty","L.A","D","82","2179.0833333333","8","37","20","17","45","51.72","154","5.19","7.73","318","218","65","13","5","27","44","22","22","0","0","8","105","23","168","86","120","0","0","-"
"192","Erik Karlsson","S.J","D","53","1297.85","3","42","21","21","45","47.37","169","1.78","7.72","389","250","78","10","6","31","22","10","10","0","0","5","63","59","44","78","69","0","1","0.00"
"350","John Klingberg","DAL","D","64","1569.95","10","35","12","23","45","52.94","153","6.54","7.44","345","218","90","15","5","20","12","6","6","0","0","8","79","26","42","105","77","0","0","-"
"880","Brady Tkachuk","OTT","L","71","1137.7666666667","22","23","16","7","45","67.16","214","10.28","24.41","335","275","218","126","5","32","75","28","24","3","1","29","39","22","174","136","26","73","76","48.99"
"243","Oliver Ekman-Larsson","ARI","D","81","1914.7833333333","14","30","19","11","44","51.16","176","7.95","10.44","430","279","127","13","8","29","52","25","25","0","0","20","65","32","162","155","52","0","0","-"
"244","Nazem Kadri","TOR","C","73","1181.85","16","28","15","13","44","60.27","184","8.70","22.37","366","287","237","102","5","24","43","16","14","1","1","27","47","42","85","131","13","403","327","55.21"
"262","Mattias Ekholm","NSH","D","80","1869.1166666667","8","36","17","19","44","48.89","146","5.48","6.86","306","208","79","16","4","16","47","22","21","1","0","13","69","32","68","87","107","0","0","-"
