"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"80","Alex Tanguay","CGY","L","39","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"774","Alexander Burmistrov","WPG","C","27","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"355","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","212","2004","VAN","3","26","91"
"220","Alexander Semin","CAR","R","35","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"241","Alexander Steen","STL","L","35","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"291","Alexander Sulzer","BUF","D","34","1984-05-30","Kaufbeuren","","DEU","DEU","73","198","2003","NSH","3","24","92"
"727","Alexander Urbom","N.J","D","28","1990-12-20","Stockholm","","SWE","SWE","76","215","2009","N.J","3","12","73"
"296","Alexandre Bolduc","PHX","C","33","1985-06-26","Montreal","QC","CAN","CAN","75","200","2003","STL","4","26","127"
"254","Alexandre Burrows","VAN","L","38","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"353","Alexei Emelin","MTL","D","32","1986-04-25","Togliatti","","RUS","RUS","74","218","2004","MTL","3","19","84"
"92","Alexei Ponikarovsky","N.J, WPG","L","39","1980-04-09","Kiev","","UKR","UKR","76","225","1998","TOR","4","1","87"
"734","Anders Lee","NYI","L","28","1990-07-03","Edina","MN","USA","USA","75","231","2009","NYI","6","1","152"
"255","Andre Benoit","OTT","D","35","1984-01-06","St. Albert","ON","CAN","CAN","71","190","-","-","-","-","-"
"146","Andreas Lilja","PHI","D","43","1975-07-13","Helsingborg","","SWE","SWE","75","220","2000","L.A","2","24","54"
"496","Andreas Nodl","CAR","R","32","1987-02-28","Vienna","","AUT","AUT","73","196","2006","PHI","2","9","39"
"646","Andrei Loktionov","N.J","C","28","1990-05-30","Voskresensk","","RUS","RUS","71","190","2008","L.A","5","2","123"
"99","Andrei Markov","MTL","D","40","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"336","Andrej Meszaros","PHI","D","33","1985-10-13","Povaská Bystrica","","SVK","SVK","74","223","2004","OTT","1","23","23"
"352","Andrej Sekera","BUF","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"836","Andrej Sustr","T.B","D","28","1990-11-29","Plzen","","CZE","CZE","79","217","-","-","-","-","-"
"194","Andrew Alberts","VAN","D","37","1981-06-30","Minneapolis","MN","USA","USA","77","218","2001","BOS","6","14","179"
"406","Andrew Cogliano","ANA","L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"449","Andrew Desjardins","S.J","L","32","1986-07-27","Lively","ON","CAN","CAN","73","195","-","-","-","-","-"
"513","Andrew Ebbett","VAN","C","36","1983-01-02","Vernon","BC","CAN","CAN","69","174","-","-","-","-","-"
"69","Andrew Ference","BOS","D","40","1979-03-17","Edmonton","AB","CAN","CAN","71","182","1997","PIT","8","18","208"
"376","Andrew Gordon","VAN","R","33","1985-12-13","Porters Lake","NS","CAN","CAN","72","194","2004","WSH","7","4","197"
"328","Andrew Ladd","WPG","L","33","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"502","Andrew MacDonald","NYI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"199","Andrew Murray","STL","C","37","1981-11-06","Selkirk","MB","CAN","CAN","74","210","2001","CBJ","8","15","242"
"800","Andrew Shaw","CHI","C","27","1991-07-20","Belleville","ON","CAN","CAN","71","182","2011","CHI","5","18","139"
"455","Andy Greene","N.J","D","36","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"128","Andy McDonald","STL","L","41","1977-08-25","Strathroy","ON","CAN","CAN","70","175","-","-","-","-","-"
"796","Andy Miele","PHX","C","30","1988-04-15","Grosse Pointe Woods","MI","USA","USA","67","169","-","-","-","-","-"
"552","Anthony Peluso","WPG","R","29","1989-04-18","North York","ON","CAN","CAN","75","225","2007","STL","6","9","160"
"669","Antoine Roussel","DAL","L","29","1989-11-21","Roubaix","","FRA","FRA","71","199","-","-","-","-","-"
"147","Antoine Vermette","PHX","C","36","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"242","Anton Babchuk","CGY","D","34","1984-05-06","Kiev","","UKR","UKR","77","200","2002","CHI","1","21","21"
"689","Anton Lander","EDM","C","27","1991-04-24","Sundsvall","","SWE","SWE","72","184","2009","EDM","2","10","40"
"445","Anton Stralman","NYR","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"137","Anton Volchenkov","N.J","D","37","1982-02-25","Moscow","","RUS","RUS","73","220","2000","OTT","1","21","21"
"158","Antti Miettinen","WPG","R","38","1980-07-03","Hämeenlinna","","FIN","FIN","72","190","2000","DAL","7","27","224"
"401","Anze Kopitar","L.A","C","31","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"46","Arron Asham","NYR","R","40","1978-04-13","Portage La Prairie","MB","CAN","CAN","71","210","1996","MTL","3","19","71"
"499","Artem Anisimov","CBJ","C","30","1988-05-24","Yaroslavl","","RUS","RUS","76","198","2006","NYR","2","24","54"
"767","Austin Watson","NSH","L","27","1992-01-13","Ann Arbor","MI","USA","USA","76","204","2010","NSH","1","18","18"
"284","B.J. Crombeen","T.B","R","33","1985-07-10","Denver","CO","USA","USA","74","209","2003","DAL","2","24","54"
"108","Barret Jackman","STL","D","38","1981-03-05","Trail","BC","CAN","CAN","72","203","1999","STL","1","17","17"
"764","Beau Bennett","PIT","R","27","1991-11-27","Gardena","CA","USA","USA","74","195","2010","PIT","1","20","20"
"245","Ben Eager","EDM","L","35","1984-01-22","Ottawa","ON","CAN","CAN","74","226","2002","PHX","1","23","23"
"711","Ben Hanowski","CGY","R","28","1990-10-18","Little Falls","MN","USA","USA","74","210","2009","PIT","3","2","63"
"523","Ben Lovejoy","ANA, PIT","D","35","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"658","Ben Smith","CHI","R","30","1988-07-11","Winston-Salem","NC","USA","USA","71","203","2008","CHI","6","18","169"
"788","Ben Street","CGY","C","32","1987-02-13","Coquitlam","BC","CAN","CAN","71","190","-","-","-","-","-"
"505","Benn Ferriero","NYR","R","31","1987-04-29","Boston","MA","USA","USA","71","195","2006","PHX","7","13","196"
"397","Benoit Pouliot","T.B","L","32","1986-09-29","Alfred","ON","CAN","CAN","75","200","2005","MIN","1","4","4"
"543","Bill Sweatt","VAN","L","30","1988-09-21","Elburn","IL","USA","USA","72","190","2007","CHI","2","8","38"
"428","Blair Jones","CGY","C","32","1986-09-27","Central Butte","SK","CAN","CAN","74","216","2005","T.B","4","11","102"
"343","Blake Comeau","CBJ, CGY","L","33","1986-02-18","Meadow Lake","SK","CAN","CAN","73","200","2004","NYI","2","17","47"
"329","Blake Wheeler","WPG","R","32","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"746","Bobby Butler","N.J, NSH","R","31","1987-04-26","Marlborough","MA","USA","USA","72","189","-","-","-","-","-"
"395","Bobby Ryan","ANA","R","32","1987-03-17","Cherry Hill","NJ","USA","USA","74","209","2005","ANA","1","2","2"
"507","Bobby Sanguinetti","CAR","D","31","1988-02-29","Trenton","NJ","USA","USA","75","188","2006","NYR","1","21","21"
"228","Boyd Gordon","PHX","C","35","1983-10-19","Unity","SK","CAN","CAN","72","200","2002","WSH","1","17","17"
"452","Bracken Kearns","S.J","C","37","1981-05-12","North Vancouver","BC","CAN","CAN","72","188","-","-","-","-","-"
"138","Brad Boyes","NYI","R","36","1982-04-17","Mississauga","ON","CAN","CAN","72","199","2000","TOR","1","24","24"
"557","Brad Malone","COL","C","29","1989-05-20","Miramichi","NB","CAN","CAN","73","217","2007","COL","4","14","105"
"461","Brad Marchand","BOS","L","30","1988-05-11","Halifax","NS","CAN","CAN","69","181","2006","BOS","3","8","71"
"88","Brad Richards","NYR","C","38","1980-05-02","Murray Hbr.","PE","CAN","CAN","72","199","1998","T.B","3","6","64"
"301","Brad Richardson","L.A","R","34","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"387","Brad Staubitz","ANA","R","34","1984-07-28","Edmonton","AB","CAN","CAN","73","207","-","-","-","-","-"
"76","Brad Stuart","S.J","D","39","1979-11-06","Rocky Mountain House","AB","CAN","CAN","74","215","1998","S.J","1","3","3"
"748","Brandon Bollig","CHI","L","32","1987-01-31","St. Charles","MO","USA","USA","74","220","-","-","-","-","-"
"347","Brandon Dubinsky","CBJ","C","32","1986-04-29","Anchorage","AK","USA","USA","74","205","2004","NYR","2","30","60"
"739","Brandon Manning","PHI","D","28","1990-06-04","Prince George","BC","CAN","CAN","73","205","-","-","-","-","-"
"670","Brandon Mashinter","NYR","L","30","1988-09-20","Bradford","ON","CAN","CAN","76","212","-","-","-","-","-"
"638","Brandon McMillan","ANA","L","29","1990-03-22","Richmond","BC","CAN","CAN","71","190","2008","ANA","3","24","85"
"715","Brandon Pirri","CHI","R","28","1991-04-10","Toronto","ON","CAN","CAN","72","186","2009","CHI","2","29","59"
"351","Brandon Prust","MTL","L","35","1984-03-16","London","ON","CAN","CAN","72","195","2004","CGY","3","5","70"
"803","Brandon Saad","CHI","L","26","1992-10-27","Pittsburgh","PA","USA","USA","73","206","2011","CHI","2","13","43"
"201","Brandon Segal","NYR","R","35","1983-07-12","Richmond","BC","CAN","CAN","74","215","2002","NSH","4","6","102"
"559","Brandon Sutter","PIT","C","30","1989-02-14","Huntington","NY","USA","CAN","75","190","2007","CAR","1","11","11"
"379","Brandon Yip","NSH","R","33","1985-04-25","Vancouver","BC","CAN","CAN","73","198","2004","COL","8","12","239"
"694","Brayden Schenn","PHI","C","27","1991-08-22","Saskatoon","SK","CAN","CAN","73","200","2009","L.A","1","5","5"
"262","Braydon Coburn","PHI","D","34","1985-02-27","Shaunavon","SK","CAN","CAN","77","223","2003","ATL","1","8","8"
"783","Brendan Gallagher","MTL","R","26","1992-05-06","Edmonton","AB","CAN","CAN","69","184","2010","MTL","5","27","147"
"411","Brendan Mikkelson","T.B","D","31","1987-06-22","Regina","SK","CAN","CAN","75","210","2005","ANA","2","1","31"
"558","Brendan Smith","DET","D","30","1989-02-08","Mimico","ON","CAN","CAN","74","195","2007","DET","1","27","27"
"740","Brenden Dillon","DAL","D","28","1990-11-13","New Westminster","BC","CAN","CAN","76","225","-","-","-","-","-"
"64","Brenden Morrow","DAL, PIT","L","40","1979-01-16","Carlyle","SK","CAN","CAN","71","212","1997","DAL","1","25","25"
"271","Brent Burns","S.J","D","34","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"266","Brent Seabrook","CHI","D","33","1985-04-20","Richmond","BC","CAN","CAN","75","220","2003","CHI","1","14","14"
"570","Brett Bellemore","CAR","D","30","1988-06-25","Windsor","ON","CAN","CAN","76","225","2007","CAR","6","11","162"
"360","Brett Carson","CGY","D","33","1985-11-29","Regina","SK","CAN","CAN","76","210","2004","CAR","4","11","109"
"50","Brett Clark","MIN","D","42","1976-12-23","Wapella","SK","CAN","CAN","72","194","1996","MTL","6","19","154"
"777","Brett Connolly","T.B","R","26","1992-05-02","Campbell River","BC","CAN","CAN","75","195","2010","T.B","1","6","6"
"438","Brett Sutter","CAR","L","31","1987-06-02","Viking","AB","CAN","CAN","72","200","2005","CGY","6","17","179"
"275","Brian Boyle","NYR","C","34","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"68","Brian Campbell","FLA","D","39","1979-05-23","Strathroy","ON","CAN","CAN","70","192","1997","BUF","6","22","156"
"824","Brian Flynn","BUF","C","30","1988-07-26","Lynnfield","MA","USA","USA","73","183","-","-","-","-","-"
"91","Brian Gionta","MTL","R","40","1979-01-18","Rochester","NY","USA","USA","67","178","1998","N.J","3","24","82"
"672","Brian Lashoff","DET","D","28","1990-07-16","Albany","NY","USA","USA","75","219","-","-","-","-","-"
"400","Brian Lee","T.B","D","32","1987-03-26","Moorhead","MN","USA","USA","75","200","2005","OTT","1","9","9"
"115","Brian McGrattan","CGY, NSH","R","37","1981-09-02","Hamilton","ON","CAN","CAN","76","235","1999","L.A","4","8","104"
"495","Brian Strait","NYI","D","31","1988-01-04","Waltham","MA","USA","USA","73","188","2006","PIT","3","2","65"
"196","Brooks Laich","WSH","C","35","1983-06-23","Wawota","SK","CAN","CAN","74","200","2001","OTT","6","28","193"
"136","Brooks Orpik","PIT","D","38","1980-09-26","San Francisco","CA","USA","USA","75","217","2000","PIT","1","18","18"
"303","Bruno Gervais","PHI","D","34","1984-10-03","Longueuil","QC","CAN","CAN","73","200","2003","NYI","6","15","182"
"77","Bryan Allen","ANA","D","38","1980-08-21","Kingston","ON","CAN","CAN","77","223","1998","VAN","1","4","4"
"342","Bryan Bickell","CHI","L","33","1986-03-09","Bowmanville","ON","CAN","CAN","76","223","2004","CHI","2","11","41"
"459","Bryan Little","WPG","C","31","1987-11-12","Edmonton","AB","CAN","CAN","72","191","2006","ATL","1","12","12"
"24","Bryce Salvador","N.J","D","43","1976-02-11","Brandon","MB","CAN","CAN","75","215","1994","T.B","6","8","138"
"477","Cal Clutterbuck","MIN","R","31","1987-11-18","Welland","ON","CAN","CAN","71","216","2006","MIN","3","9","72"
"654","Cam Atkinson","CBJ","R","29","1989-06-05","Riverside","CT","USA","USA","68","179","2008","CBJ","6","6","157"
"327","Cam Barker","VAN","D","33","1986-04-04","Winnipeg","MB","CAN","CAN","75","223","2004","CHI","1","3","3"
"765","Cam Fowler","ANA","D","27","1991-12-05","Windsor","ON","CAN","USA","73","206","2010","ANA","1","12","12"
"222","Cam Janssen","N.J","R","34","1984-04-15","St. Louis","MO","USA","USA","72","215","2002","N.J","4","21","117"
"822","Cameron Schilling","WSH","D","30","1988-10-07","Carmel","IN","USA","USA","74","182","-","-","-","-","-"
"568","Carl Gunnarsson","TOR","D","32","1986-11-09","Orebro","","SWE","SWE","74","198","2007","TOR","7","13","194"
"583","Carl Hagelin","NYR","L","30","1988-08-23","Sodertalje","","SWE","SWE","71","186","2007","NYR","6","17","168"
"344","Carl Soderberg","BOS","C","33","1985-10-12","Malmö","","SWE","SWE","75","210","2004","STL","2","19","49"
"170","Carlo Colaiacovo","DET","D","36","1983-01-27","Toronto","ON","CAN","CAN","73","202","2001","TOR","1","17","17"
"668","Carter Bancks","CGY","L","29","1989-08-09","Calgary","AB","CAN","CAN","71","181","-","-","-","-","-"
"724","Casey Cizikas","NYI","C","28","1991-02-27","Toronto","ON","CAN","CAN","71","195","2009","NYI","4","1","92"
"207","Chad LaRose","CAR","R","37","1982-03-27","Fraser","MI","USA","USA","70","181","-","-","-","-","-"
"839","Chad Ruhwedel","BUF","D","28","1990-05-07","San Diego","CA","USA","USA","71","191","-","-","-","-","-"
"758","Charlie Coyle","MIN","C","27","1992-03-02","E. Weymouth","MA","USA","USA","75","220","2010","S.J","1","28","28"
"341","Chris Bourque","BOS","L","33","1986-01-29","Boston","MA","USA","USA","68","174","2004","WSH","2","3","33"
"686","Chris Brown","PHX","R","28","1991-02-03","Flower Mound","TX","USA","USA","74","188","2009","PHX","2","6","36"
"425","Chris Butler","CGY","D","32","1986-10-27","St. Louis","MO","USA","USA","73","196","2005","BUF","4","5","96"
"453","Chris Conner","PHX","R","35","1983-12-23","Westland","MI","USA","USA","67","181","-","-","-","-","-"
"244","Chris Higgins","VAN","L","35","1983-06-02","Smithtown","NY","USA","USA","72","205","2002","MTL","1","14","14"
"114","Chris Kelly","BOS","C","38","1980-11-11","Toronto","ON","CAN","CAN","72","190","1999","OTT","3","28","94"
"705","Chris Kreider","NYR","L","27","1991-04-30","Boxford","MA","USA","USA","75","220","2009","NYR","1","19","19"
"256","Chris Kunitz","PIT","L","39","1979-09-26","Regina","SK","CAN","CAN","72","188","-","-","-","-","-"
"598","Chris Mueller","NSH","C","33","1986-03-06","West Seneca","NY","USA","USA","71","196","-","-","-","-","-"
"98","Chris Neil","OTT","R","39","1979-06-18","Flesherton","ON","CAN","CAN","73","209","1998","OTT","6","16","161"
"36","Chris Phillips","OTT","D","41","1978-03-09","Calgary","AB","CAN","CAN","75","219","1996","OTT","1","1","1"
"317","Chris Porter","STL","L","34","1984-05-29","Toronto","ON","CAN","CAN","73","206","2003","CHI","9","21","282"
"475","Chris Stewart","STL","R","31","1987-10-30","Toronto","ON","CAN","CAN","74","242","2006","COL","1","18","18"
"504","Chris Summers","PHX","D","31","1988-02-05","Ann Arbor","MI","USA","USA","74","207","2006","PHX","1","29","29"
"549","Chris Terry","CAR","L","30","1989-04-07","Brampton","ON","CAN","CAN","70","191","2007","CAR","5","11","132"
"179","Chris Thorburn","WPG","R","35","1983-06-03","Sault Ste. Marie","ON","CAN","CAN","75","235","2001","BUF","2","20","50"
"426","Chris VandeVelde","EDM","C","32","1987-03-15","Moorhead","MN","USA","USA","74","190","2005","EDM","4","6","97"
"187","Christian Ehrhoff","BUF","D","36","1982-07-06","Moers","","DEU","DEU","74","201","2001","S.J","4","10","106"
"759","Christian Thomas","NYR","L","26","1992-05-26","Toronto","ON","CAN","CAN","69","175","2010","NYR","2","10","40"
"751","Christopher Tanev","VAN","D","29","1989-12-20","Toronto","ON","CAN","CAN","74","197","-","-","-","-","-"
"168","Chuck Kobasew","COL","R","36","1982-04-17","Vancouver","BC","CAN","CAN","72","192","2001","CGY","1","14","14"
"289","Clarke MacArthur","TOR","L","34","1985-04-06","Lloydminster","AB","CAN","CAN","72","192","2003","BUF","3","6","74"
"479","Claude Giroux","PHI","C","31","1988-01-12","Hearst","ON","CAN","CAN","71","185","2006","PHI","1","22","22"
"319","Clayton Stoner","MIN","D","34","1985-02-19","Port McNeill","BC","CAN","CAN","76","216","2004","MIN","3","14","79"
"726","Cody Eakin","DAL","C","27","1991-05-24","Winnipeg","MB","CAN","CAN","72","190","2009","WSH","3","24","85"
"421","Cody Franson","TOR","D","31","1987-08-08","Sicamous","BC","CAN","CAN","77","224","2005","NSH","3","18","79"
"622","Cody Goloubef","CBJ","D","29","1989-11-30","Mississauga","ON","CAN","CAN","73","200","2008","CBJ","2","7","37"
"607","Cody Hodgson","BUF","C","29","1990-02-18","Toronto","ON","CAN","CAN","72","191","2008","VAN","1","10","10"
"189","Cody McCormick","BUF","C","35","1983-04-18","London","ON","CAN","CAN","74","222","2001","COL","5","13","144"
"389","Cody McLeod","COL","L","34","1984-06-26","Binscarth","MB","CAN","CAN","74","204","-","-","-","-","-"
"172","Colby Armstrong","MTL","R","36","1982-11-23","Lloydminster","SK","CAN","CAN","74","185","2001","PIT","1","21","21"
"626","Colby Robak","FLA","D","28","1990-04-24","Dauphin","MB","CAN","CAN","75","194","2008","FLA","2","16","46"
"287","Colin Fraser","L.A","C","34","1985-01-28","Sicamous","BC","CAN","CAN","73","190","2003","PHI","3","1","69"
"444","Colin Greening","OTT","C","33","1986-03-09","St. John's","NL","CAN","CAN","74","210","2005","OTT","7","10","204"
"283","Colin McDonald","NYI","R","34","1984-09-30","Wethersfield","CT","USA","USA","74","219","2003","EDM","2","21","51"
"606","Colin Wilson","NSH","C, L","29","1989-10-20","Greenwich","CT","USA","USA","73","221","2008","NSH","1","7","7"
"567","Colton Gillies","CBJ","C","30","1989-02-12","White Rock","BC","CAN","CAN","76","208","2007","MIN","1","16","16"
"159","Colton Orr","TOR","R","37","1982-03-03","Winnipeg","MB","CAN","CAN","75","222","-","-","-","-","-"
"563","Colton Sceviour","DAL","C","29","1989-04-20","Red Deer","AB","CAN","CAN","72","192","2007","DAL","4","21","112"
"276","Corey Perry","ANA","R","33","1985-05-16","Peterborough","ON","CAN","CAN","75","206","2003","ANA","1","28","28"
"295","Corey Potter","EDM","D","35","1984-01-05","Lansing","MI","USA","USA","75","204","2003","NYR","4","21","122"
"794","Cory Conacher","OTT, T.B","C","29","1989-12-14","Burlington","ON","CAN","CAN","68","180","-","-","-","-","-"
"491","Cory Emmerton","DET","C","30","1988-06-01","St. Thomas","ON","CAN","CAN","72","191","2006","DET","2","11","41"
"41","Cory Sarich","CGY","D","40","1978-08-16","Saskatoon","SK","CAN","CAN","76","207","1996","BUF","2","1","27"
"51","Craig Adams","PIT","R","41","1977-04-26","Seria","","BRN","CAN","72","200","1996","HFD","9","8","223"
"723","Craig Smith","NSH","R","29","1989-09-05","Madison","WI","USA","USA","73","208","2009","NSH","4","7","98"
"323","Curtis Glencross","CGY","L","36","1982-12-28","Kindersley","SK","CAN","CAN","73","197","-","-","-","-","-"
"40","Dainius Zubrus","N.J","C","40","1978-06-16","Elektrenai","","LTU","LTU","77","225","1996","PHI","1","15","15"
"642","Dale Weise","VAN","R","30","1988-08-05","Winnipeg","MB","CAN","CAN","74","206","2008","NYR","4","20","111"
"665","Dalton Prout","CBJ","D","29","1990-03-13","Kingsville","ON","CAN","CAN","75","215","2010","CBJ","6","4","154"
"835","Damien Brunner","DET","R","33","1986-03-09","Zürich","","CHE","CHE","71","185","-","-","-","-","-"
"73","Dan Boyle","S.J","D","42","1976-07-12","Ottawa","ON","CAN","CAN","71","194","-","-","-","-","-"
"450","Dan Girardi","NYR","D","34","1984-04-29","Welland","ON","CAN","CAN","73","212","-","-","-","-","-"
"166","Dan Hamhuis","VAN","D","36","1982-12-13","Smithers","BC","CAN","CAN","73","204","2001","NSH","1","12","12"
"561","Dana Tyrell","T.B","C","29","1989-04-23","Airdrie","AB","CAN","CAN","70","192","2007","T.B","2","17","47"
"23","Daniel Alfredsson","OTT","R","46","1972-12-11","Gothenburg","","SWE","SWE","71","203","1994","OTT","6","3","133"
"827","Daniel Bang","NSH","L","31","1987-04-19","Stockholm","","SWE","SWE","75","208","-","-","-","-","-"
"39","Daniel Briere","PHI","C","41","1977-10-06","Gatineau","QC","CAN","CAN","69","174","1996","PHX","1","24","24"
"288","Daniel Carcillo","CHI","L","34","1985-01-28","King City","ON","CAN","CAN","72","200","2003","PIT","3","5","73"
"62","Daniel Cleary","DET","R","40","1978-12-18","Carbonear","NL","CAN","CAN","73","205","1997","CHI","1","13","13"
"239","Daniel Paille","BOS","L","34","1984-04-15","Welland","ON","CAN","CAN","73","188","2002","BUF","1","20","20"
"105","Daniel Sedin","VAN","L","38","1980-09-26","Ornskoldsvik","","SWE","SWE","73","190","1999","VAN","1","2","2"
"381","Daniel Winnik","ANA","L","34","1985-03-06","Toronto","ON","CAN","CAN","74","210","2004","PHX","9","7","265"
"837","Danny DeKeyser","DET","D","29","1990-03-07","Detroit","MI","USA","USA","75","192","-","-","-","-","-"
"130","Dany Heatley","MIN","L","38","1981-01-21","Freiburg","","DEU","CAN","75","212","2000","ATL","1","2","2"
"154","Darcy Hordichuk","EDM","L","38","1980-08-10","Kamsack","SK","CAN","CAN","73","215","2000","ATL","6","13","180"
"431","Darren Helm","DET","C","32","1987-01-21","St. Andrews","MB","CAN","CAN","72","196","2005","DET","5","7","132"
"522","Darroll Powe","MIN, NYR","C","33","1985-06-22","Saskatoon","SK","CAN","CAN","71","212","-","-","-","-","-"
"340","Dave Bolland","CHI","C","32","1986-06-05","Mimico","ON","CAN","CAN","72","188","2004","CHI","2","2","32"
"749","Dave Dziurzynski","OTT","L","29","1989-10-06","Lloydminster","AB","CAN","CAN","75","224","-","-","-","-","-"
"286","David Backes","STL","R","34","1984-05-01","Minneapolis","MN","USA","USA","75","215","2003","STL","2","32","62"
"345","David Booth","VAN","L","34","1984-11-24","Detroit","MI","USA","USA","72","212","2004","FLA","2","23","53"
"321","David Clarkson","N.J","R","35","1984-03-31","Toronto","ON","CAN","CAN","72","207","-","-","-","-","-"
"451","David Desharnais","MTL","C","32","1986-09-14","Laurier-Station","QC","CAN","CAN","67","180","-","-","-","-","-"
"318","David Jones","COL","R","34","1984-08-10","Guelph","ON","CAN","CAN","75","208","2003","COL","9","27","288"
"349","David Krejci","BOS","C","32","1986-04-28","Sternberk","","CZE","CZE","72","188","2004","BOS","2","33","63"
"75","David Legwand","NSH","C","38","1980-08-17","Detroit","MI","USA","USA","74","207","1998","NSH","1","2","2"
"197","David Moss","PHX","R","37","1981-12-28","Livonia","MI","USA","USA","76","210","2001","CGY","7","24","220"
"565","David Perron","STL","L","30","1988-05-28","Sherbrooke","QC","CAN","CAN","72","200","2007","STL","1","26","26"
